id_noticia,id_accion_contenciosa,id_conflicto,fecha,link,medio,tipo_medio,region,columna,localidad_accion,periodo,tipo_energia,subtipo_renovable,tipo_conflicto,tipo_accion,tipo_actor_demandante,actor_demandante,tipo_actor_demandado,actor_demandado,bajada
,,,2023-06-21,https://www.diarioelcentro.cl/2023/06/07/descontaminacion-donde-comprar-lena-seca-y-pellet-en-el-maule-durante-junio/,Diario El Centro,,Maule,Curicó,,,,,,,,,,,"Con el objeto de informar a la ciudadanía respecto al cumplimiento del Plan de Descontaminación Atmosférica, el Servicio Nacional del"
,,,2021-06-19,https://cooperativa.cl/noticias/pais/region-del-maule/la-contaminacion-sigue-asfixiando-al-maule-curico-vivira-este-lunes/2021-05-31/005114.html,Cooperativa.cl,,Maule,Curicó,,,,,,,,,,,"Este lunes, Curicó y el sector poniente de Romeral estarán bajo alerta ambiental, mientras que Talca y Maule tendrán preemergencia,"
,,,2017-08-16,https://mma.gob.cl/gobierno-entrega-certificacion-ambiental-a-siete-comunas-de-la-region-del-maule/,mma.gob.cl,,Maule,Curicó,,,,,,,,,,,"En el auditórium del Gobierno Regional del Maule en Talca, se realizó la Ceremonia de Certificación Ambiental Municipal (SCAM).87 months ago"
,,,2024-04-21,https://municipalidaddecurico.cl/comenzo-plan-de-descontaminacion-atmosferica-en-curico/,Municipalidad de Curicó,,Maule,Curicó,,,,,,,,,,,"Cuidado de la salud. El principal objetivo es controlar lo relacionado con el comercio leñero y por ende, el uso de estufas. CURICÓ.7 months ago"
,,,2019-06-18,https://www.elciudadano.com/chile/el-maule-acusan-conflicto-de-interes-del-ministro-de-agricultura-por-proyecto-de-embalse-del-rio-teno/06/03/,elciudadano.com,,Maule,Curicó,,,,,,,,,,,"El 26 de mayo pasado, en una entrevista con el diario La Prensa de Curicó, el Ministro de Agricultura, Antonio Walker, hizo un guiño al"
,,,2016-04-15,https://la7.cl/2016/04/16/donde-comprar-lena-certificada-en-la-region-del-maule/,la7.cl,,Maule,Curicó,,,,,,,,,,,SERNAC informa el listado mensual válido de los locales que cuentan con stock de leña en la Región Del Maule.103 months ago
,,,2014-05-14,https://www.terram.cl/biodiversidad/2014/04/25/mas-de-un-centenar-de-organizaciones-y-comunidades-hacen-un-llamado-al-parlamento-para-recuperar-el-agua-de-las-manos-del-mercado/,Fundación Terram,,Maule,Curicó,,,,,,,,,,,Más de un centenar de organizaciones que representan a distintas comunidades reiteraron esta tarde la convocatoria a la gran marcha por el
,,,2018-06-17,https://mma.gob.cl/en-curico-se-desarrollo-feria-de-reciclaje-electrico-y-electronico/,mma.gob.cl,,Maule,Curicó,,,,,,,,,,,En Curicó se desarrolló Feria de Reciclaje Eléctrico y Electrónico.77 months ago
,,,2022-02-18,https://www.subdere.gov.cl/ministro-de-medio-ambiente-firma-convenio-de-%25E2%2580%259Cmejoramiento-gesti%25C3%25B3n-ambiental-municipal%25E2%2580%259D-para-empedra,Subdere |,,Maule,Empedrado,,,,,,,,,,,"En una ceremonia encabezada por el Ministro del Medio Ambiente, Pablo Badenier, junto al Intendente de la Región del Maule, Pablo Meza, se realizó la firma"
,,,2018-10-17,https://resumen.cl/articulos/informe-apunta-presencia-oro-nirivilo-gerentes-invocan-transnacionales-mineras-para-saqueo-del-maule-sur,Resumen.cl,,Maule,Empedrado,,,,,,,,,,,"[resumen.cl] Un informe encargado a una consultora por la Empresa Nacional de Minería (ENAMI), evaluó la presencia de oro cerca del"
,,,2016-03-15,https://resumen.cl/articulos/vecinos-denuncian-que-criadero-de-cerdos-de-coexca-busca-operar-ilegalmente-en-sauzal-comuna-de-san-javier,Resumen.cl,,Maule,Empedrado,,,,,,,,,,,Por: Alberto Muñoz / resumen.cl La empresa Coexca S. A. pretende instalar en el camino hacia la localidad de Sauzal en la comuna de San
