region,comuna,titulo,fecha,bajada,link,medio
Tarapacá,Alto Hospicio,Un mega basurero textil en el desierto de Atacama amenaza con abrir un conflicto con Chile,4 months ago,"El empresario Guillermo Whpei fue hasta Chile para liderar una investigación sobre el desastre ambiental. ""Es algo apocalíptico"", alertó.4 months ago",https://www.lapoliticaonline.com/internacionales/un-mega-basurero-textil-en-el-desierto-de-atacama-amenaza-con-abrir-un-conflicto-con-chile/,La Política Online
Tarapacá,Alto Hospicio,"Las montañas de ropa se esfumaron del desierto de Atacama, pero el problema no desapareció",11 months ago,Chile es el mayor importador de ropa de segunda mano de Sudamérica. Una foto reveló al mundo que muchas de esas prendas acaban en montañas,https://elpais.com/america-futura/2024-01-04/las-montanas-de-ropa-se-esfumaron-del-desierto-de-atacama-pero-el-problema-no-desaparecio.html,EL PAÍS
Tarapacá,Alto Hospicio,La contaminación no tradicional del desierto: ropa,78 months ago,"Municipio de Alto Hospicio, en Tarapacá, denuncia la proliferación de ""minibasurales"" clandestinos.78 months ago",https://www.latercera.com/nacional/noticia/la-contaminacion-no-tradicional-del-desierto-ropa/228580/,La Tercera
Tarapacá,Alto Hospicio,SMA inicia proceso de sanción contra Relleno Sanitario Iquique,95 months ago,La Superintendencia detectó 8 incumplimientos ambientales en la instalación que recibe desechos de Iquique y Alto Hospicio.95 months ago,https://portal.sma.gob.cl/index.php/sma-inicia-proceso-de-sancion-contra-relleno-sanitario-iquique/,Superintendencia Del Medio Ambiente – Gobierno de Chile
Tarapacá,Alto Hospicio,"Desierto de Atacama: el ""cementerio tóxico"" de ropa que se descarta en otras partes del mundo",37 months ago,"Unas 59.000 toneladas de ropa anuales entran por la zona franca del puerto de Iquique, en la región de Tarapacá. Falta de lugares para",https://www.biobiochile.cl/especial/aqui-tierra/noticias/2021/11/09/desierto-de-atacama-el-cementerio-toxico-de-ropa-que-se-descarta-en-otras-partes-del-mundo.shtml,BioBioChile
Tarapacá,Alto Hospicio,Geografía de la Ropa desechada en Chile: Desierto de Atacama se ha convertido en un gran basural textil,36 months ago,La industria de ropa es una de las más contaminantes del mundo. Su producción implica el uso de grandes volúmenes de agua y además la,https://www.uchile.cl/noticias/182923/geografia-de-la-ropa-desechada-en-chile-la-moda-que-nos-mata,Universidad de Chile
Tarapacá,Alto Hospicio,Plásticos en el desierto: más allá de un problema ambiental,28 months ago,"Gisselle Bracamonte Endre, directora MORE GREEN RECYCLE y gestora medioambiental. En los últimos años, Chile ha enfrentado importantes",https://www.diariosustentable.com/2022/08/plasticos-en-el-desierto-mas-alla-de-un-problema-ambiental/,Diario Sustentable
Tarapacá,Alto Hospicio,Rally Atacama 2022: ¿Cuál es el impacto de las actividades 4×4 en el patrimonio cultural y natural de Chile?,28 months ago,"En estos días se estará disputando en el norte de Chile el Rally Atacama 2022, una competencia internacional de alto nivel que llevara a",https://laderasur.com/articulo/rally-atacama-2022-cual-es-el-impacto-de-las-actividades-4x4-en-el-patrimonio-cultural-y-natural-de-chile/,Ladera Sur
Tarapacá,Camiña,Denuncian alta contaminación por arsénico en el agua de Camiña,125 months ago,"El encargado del Programa de Agua de la Seremi de Salud de Tarapacá, Rubén Rojo, reconoció en la sesión de este jueves de la comisión de",https://cooperativa.cl/noticias/pais/servicios-basicos/agua/denuncian-alta-contaminacion-por-arsenico-en-el-agua-de-camina/2014-07-04/135457.html,Cooperativa.cl
Tarapacá,Colchane,Colchane y la frontera: cómo la narrativa del “choque cultural” aumentó la tensión con los migrantes,40 months ago,"Entre enero y febrero de 2021, Colchane duplicó el número de su población habitual luego de que miles de migrantes llegaran hasta esa ciudad",https://www.ciperchile.cl/2021/08/06/colchane-y-la-frontera-como-la-narrativa-del-choque-cultural-aumento-la-tension-con-los-migrantes/,- CIPER Chile
Tarapacá,Colchane,"10 cosas que debes saber de Colchane, el epicentro de la crisis migratoria en Chile",46 months ago,"Tiene 1.583 habitantes, la mayoría de origen aymara, pero el lunes llegaron más de mil extranjeros que ingresaron de manera ilegal al país.46 months ago",https://www.ex-ante.cl/10-cosas-que-debes-saber-colchane-el-epicentro-de-la-crisis-migratoria-n-chile/,Ex-Ante
Tarapacá,Huara,Corte Suprema confirmó sentencia del Tribunal Ambiental que rechazó reclamación contra aprobación de proyecto minero Paguanta | Tribunal Ambiental,103 months ago,"La Corte Suprema rechazó los recursos de casación en la forma y en el fondo interpuestos contra el Tribunal Ambiental de Santiago,",https://tribunalambiental.cl/corte-suprema-confirmo-sentencia-del-tribunal-ambiental-que-rechazo-reclamacion-contra-aprobacion-de-proyecto-minero-paguanta/,Tribunal Ambiental |
Tarapacá,Iquique,Iquique y Alto Hospicio vulnerables: “Es urgente diversificar las fuentes de agua potable”,9 months ago,"En el marco del Día Mundial del Agua, bajo el lema, “Agua para la Paz”, establecido por la ONU, se hace hincapié en la importancia de",https://www.tarapacaonline.cl/2024/03/21/iquique-y-alto-hospicio-vulnerables-es-urgente-diversificar-las-fuentes-de-agua-potable/,Tarapaca Online
Tarapacá,Iquique,Un mega basurero textil en el desierto de Atacama amenaza con abrir un conflicto con Chile,4 months ago,"El empresario Guillermo Whpei fue hasta Chile para liderar una investigación sobre el desastre ambiental. ""Es algo apocalíptico"", alertó.4 months ago",https://www.lapoliticaonline.com/internacionales/un-mega-basurero-textil-en-el-desierto-de-atacama-amenaza-con-abrir-un-conflicto-con-chile/,La Política Online
Tarapacá,Iquique,Superintendenta Plumer visita la Región de Tarapacá para reunirse con autoridades locales,12 months ago,Se trata de la primera visita oficial de la jefa del Servicio a la Región de Tarapacá y tuvo como fin abordar distintas preocupaciones,https://portal.sma.gob.cl/index.php/superintendenta-plumer-visita-la-region-de-tarapaca-para-reunirse-con-autoridades-locales/,Superintendencia Del Medio Ambiente – Gobierno de Chile
